Category: All categories

Week,romny: (Worldwide)
2022-02-20,72
2022-02-27,100
2022-03-06,83
2022-03-13,71
2022-03-20,62
2022-03-27,51
2022-04-03,75
2022-04-10,72
2022-04-17,37
2022-04-24,39
2022-05-01,37
2022-05-08,53
2022-05-15,54
2022-05-22,56
2022-05-29,43
2022-06-05,0
2022-06-12,30
2022-06-19,34
2022-06-26,18
2022-07-03,58
2022-07-10,39
2022-07-17,70
2022-07-24,20
2022-07-31,35
2022-08-07,57
2022-08-14,49
2022-08-21,14
2022-08-28,49
2022-09-04,35
2022-09-11,34
2022-09-18,20
2022-09-25,47
2022-10-02,36
2022-10-09,34
2022-10-16,30
2022-10-23,51
2022-10-30,48
2022-11-06,16
2022-11-13,44
2022-11-20,19
2022-11-27,46
2022-12-04,46
2022-12-11,23
2022-12-18,35
2022-12-25,34
2023-01-01,40
2023-01-08,52
2023-01-15,39
2023-01-22,0
2023-01-29,23
2023-02-05,55
2023-02-12,41
2023-02-19,43
2023-02-26,36
2023-03-05,57
2023-03-12,39
2023-03-19,15
2023-03-26,54
2023-04-02,53
2023-04-09,33
2023-04-16,35
2023-04-23,33
2023-04-30,54
2023-05-07,69
2023-05-14,58
2023-05-21,42
2023-05-28,49
2023-06-04,35
2023-06-11,57
2023-06-18,26
2023-06-25,0
2023-07-02,19
2023-07-09,41
2023-07-16,25
