Category: All categories

Week,Kadiivka: (Worldwide)
2022-02-20,39
2022-02-27,37
2022-03-06,38
2022-03-13,42
2022-03-20,42
2022-03-27,46
2022-04-03,42
2022-04-10,41
2022-04-17,44
2022-04-24,52
2022-05-01,43
2022-05-08,39
2022-05-15,45
2022-05-22,38
2022-05-29,56
2022-06-05,100
2022-06-12,66
2022-06-19,56
2022-06-26,60
2022-07-03,54
2022-07-10,73
2022-07-17,61
2022-07-24,35
2022-07-31,32
2022-08-07,23
2022-08-14,33
2022-08-21,56
2022-08-28,31
2022-09-04,28
2022-09-11,39
2022-09-18,51
2022-09-25,34
2022-10-02,34
2022-10-09,32
2022-10-16,29
2022-10-23,31
2022-10-30,25
2022-11-06,32
2022-11-13,35
2022-11-20,28
2022-11-27,25
2022-12-04,30
2022-12-11,67
2022-12-18,27
2022-12-25,26
2023-01-01,27
2023-01-08,28
2023-01-15,24
2023-01-22,28
2023-01-29,27
2023-02-05,24
2023-02-12,28
2023-02-19,24
2023-02-26,40
2023-03-05,24
2023-03-12,22
2023-03-19,24
2023-03-26,26
2023-04-02,25
2023-04-09,21
2023-04-16,24
2023-04-23,21
2023-04-30,25
2023-05-07,31
2023-05-14,21
2023-05-21,24
2023-05-28,25
2023-06-04,15
2023-06-11,22
2023-06-18,15
2023-06-25,17
2023-07-02,16
2023-07-09,19
2023-07-16,19
