Category: All categories

Week,Zin'kiv: (Worldwide)
2022-02-20,61
2022-02-27,78
2022-03-06,60
2022-03-13,59
2022-03-20,66
2022-03-27,73
2022-04-03,62
2022-04-10,86
2022-04-17,83
2022-04-24,71
2022-05-01,63
2022-05-08,85
2022-05-15,77
2022-05-22,85
2022-05-29,100
2022-06-05,69
2022-06-12,78
2022-06-19,95
2022-06-26,75
2022-07-03,77
2022-07-10,83
2022-07-17,96
2022-07-24,85
2022-07-31,87
2022-08-07,70
2022-08-14,71
2022-08-21,73
2022-08-28,77
2022-09-04,69
2022-09-11,86
2022-09-18,91
2022-09-25,82
2022-10-02,60
2022-10-09,70
2022-10-16,93
2022-10-23,81
2022-10-30,69
2022-11-06,59
2022-11-13,77
2022-11-20,58
2022-11-27,51
2022-12-04,63
2022-12-11,84
2022-12-18,70
2022-12-25,65
2023-01-01,73
2023-01-08,75
2023-01-15,63
2023-01-22,63
2023-01-29,70
2023-02-05,63
2023-02-12,66
2023-02-19,71
2023-02-26,71
2023-03-05,71
2023-03-12,66
2023-03-19,69
2023-03-26,99
2023-04-02,84
2023-04-09,85
2023-04-16,93
2023-04-23,92
2023-04-30,81
2023-05-07,80
2023-05-14,80
2023-05-21,92
2023-05-28,62
2023-06-04,74
2023-06-11,78
2023-06-18,95
2023-06-25,82
2023-07-02,84
2023-07-09,80
2023-07-16,83
2023-07-23,87
