Category: All categories

Week,Niu-York: (Worldwide)
2022-02-20,93
2022-02-27,52
2022-03-06,33
2022-03-13,84
2022-03-20,53
2022-03-27,64
2022-04-03,65
2022-04-10,37
2022-04-17,53
2022-04-24,80
2022-05-01,53
2022-05-08,59
2022-05-15,100
2022-05-22,52
2022-05-29,50
2022-06-05,52
2022-06-12,39
2022-06-19,40
2022-06-26,38
2022-07-03,40
2022-07-10,38
2022-07-17,25
2022-07-24,35
2022-07-31,31
2022-08-07,31
2022-08-14,19
2022-08-21,44
2022-08-28,22
2022-09-04,34
2022-09-11,40
2022-09-18,30
2022-09-25,53
2022-10-02,38
2022-10-09,27
2022-10-16,25
2022-10-23,28
2022-10-30,16
2022-11-06,19
2022-11-13,20
2022-11-20,17
2022-11-27,22
2022-12-04,15
2022-12-11,19
2022-12-18,28
2022-12-25,26
2023-01-01,52
2023-01-08,31
2023-01-15,24
2023-01-22,24
2023-01-29,23
2023-02-05,33
2023-02-12,25
2023-02-19,28
2023-02-26,37
2023-03-05,40
2023-03-12,33
2023-03-19,28
2023-03-26,35
2023-04-02,30
2023-04-09,24
2023-04-16,18
2023-04-23,42
2023-04-30,46
2023-05-07,29
2023-05-14,25
2023-05-21,55
2023-05-28,35
2023-06-04,18
2023-06-11,24
2023-06-18,29
2023-06-25,30
2023-07-02,24
2023-07-09,22
2023-07-16,33
2023-07-23,36
