Category: All categories

Week,Derhachi: (Worldwide)
2022-02-20,64
2022-02-27,34
2022-03-06,100
2022-03-13,39
2022-03-20,39
2022-03-27,34
2022-04-03,51
2022-04-10,38
2022-04-17,26
2022-04-24,22
2022-05-01,21
2022-05-08,31
2022-05-15,20
2022-05-22,25
2022-05-29,23
2022-06-05,15
2022-06-12,17
2022-06-19,21
2022-06-26,17
2022-07-03,17
2022-07-10,16
2022-07-17,23
2022-07-24,17
2022-07-31,13
2022-08-07,13
2022-08-14,18
2022-08-21,21
2022-08-28,13
2022-09-04,12
2022-09-11,20
2022-09-18,19
2022-09-25,13
2022-10-02,13
2022-10-09,11
2022-10-16,14
2022-10-23,16
2022-10-30,13
2022-11-06,17
2022-11-13,18
2022-11-20,13
2022-11-27,13
2022-12-04,14
2022-12-11,18
2022-12-18,18
2022-12-25,17
2023-01-01,17
2023-01-08,19
2023-01-15,15
2023-01-22,17
2023-01-29,15
2023-02-05,16
2023-02-12,19
2023-02-19,15
2023-02-26,18
2023-03-05,18
2023-03-12,18
2023-03-19,19
2023-03-26,18
2023-04-02,24
2023-04-09,17
2023-04-16,25
2023-04-23,26
2023-04-30,23
2023-05-07,20
2023-05-14,16
2023-05-21,23
2023-05-28,22
2023-06-04,18
2023-06-11,24
2023-06-18,22
2023-06-25,22
2023-07-02,25
2023-07-09,29
2023-07-16,23
2023-07-23,22
