Category: All categories

Week,kovel: (Worldwide)
2022-02-20,84
2022-02-27,100
2022-03-06,69
2022-03-13,55
2022-03-20,35
2022-03-27,50
2022-04-03,41
2022-04-10,38
2022-04-17,33
2022-04-24,30
2022-05-01,44
2022-05-08,43
2022-05-15,36
2022-05-22,43
2022-05-29,38
2022-06-05,42
2022-06-12,35
2022-06-19,33
2022-06-26,34
2022-07-03,36
2022-07-10,31
2022-07-17,34
2022-07-24,48
2022-07-31,31
2022-08-07,42
2022-08-14,38
2022-08-21,21
2022-08-28,32
2022-09-04,39
2022-09-11,46
2022-09-18,35
2022-09-25,44
2022-10-02,45
2022-10-09,40
2022-10-16,36
2022-10-23,29
2022-10-30,39
2022-11-06,37
2022-11-13,43
2022-11-20,29
2022-11-27,35
2022-12-04,39
2022-12-11,32
2022-12-18,26
2022-12-25,39
2023-01-01,44
2023-01-08,36
2023-01-15,37
2023-01-22,41
2023-01-29,31
2023-02-05,34
2023-02-12,37
2023-02-19,36
2023-02-26,22
2023-03-05,35
2023-03-12,32
2023-03-19,24
2023-03-26,33
2023-04-02,30
2023-04-09,29
2023-04-16,26
2023-04-23,18
2023-04-30,37
2023-05-07,25
2023-05-14,32
2023-05-21,26
2023-05-28,25
2023-06-04,34
2023-06-11,32
2023-06-18,26
2023-06-25,28
2023-07-02,21
2023-07-09,20
2023-07-16,51
