Category: All categories

Week,Pokrovsk: (Worldwide)
2022-02-20,69
2022-02-27,91
2022-03-06,67
2022-03-13,100
2022-03-20,78
2022-03-27,72
2022-04-03,96
2022-04-10,62
2022-04-17,50
2022-04-24,48
2022-05-01,50
2022-05-08,52
2022-05-15,57
2022-05-22,67
2022-05-29,57
2022-06-05,55
2022-06-12,85
2022-06-19,62
2022-06-26,55
2022-07-03,62
2022-07-10,73
2022-07-17,74
2022-07-24,66
2022-07-31,65
2022-08-07,53
2022-08-14,64
2022-08-21,58
2022-08-28,56
2022-09-04,54
2022-09-11,68
2022-09-18,64
2022-09-25,52
2022-10-02,50
2022-10-09,48
2022-10-16,47
2022-10-23,52
2022-10-30,81
2022-11-06,50
2022-11-13,53
2022-11-20,49
2022-11-27,50
2022-12-04,53
2022-12-11,57
2022-12-18,56
2022-12-25,57
2023-01-01,59
2023-01-08,57
2023-01-15,50
2023-01-22,55
2023-01-29,55
2023-02-05,55
2023-02-12,76
2023-02-19,54
2023-02-26,57
2023-03-05,54
2023-03-12,57
2023-03-19,51
2023-03-26,56
2023-04-02,62
2023-04-09,55
2023-04-16,60
2023-04-23,56
2023-04-30,53
2023-05-07,53
2023-05-14,50
2023-05-21,58
2023-05-28,56
2023-06-04,49
2023-06-11,63
2023-06-18,58
2023-06-25,65
2023-07-02,65
2023-07-09,60
2023-07-16,58
