Category: All categories

Week,Debal'tseve: (Worldwide)
2022-02-20,100
2022-02-27,82
2022-03-06,72
2022-03-13,45
2022-03-20,53
2022-03-27,48
2022-04-03,43
2022-04-10,45
2022-04-17,38
2022-04-24,46
2022-05-01,33
2022-05-08,38
2022-05-15,46
2022-05-22,55
2022-05-29,34
2022-06-05,32
2022-06-12,30
2022-06-19,29
2022-06-26,30
2022-07-03,35
2022-07-10,39
2022-07-17,32
2022-07-24,19
2022-07-31,23
2022-08-07,16
2022-08-14,22
2022-08-21,21
2022-08-28,25
2022-09-04,25
2022-09-11,30
2022-09-18,28
2022-09-25,32
2022-10-02,25
2022-10-09,25
2022-10-16,30
2022-10-23,21
2022-10-30,19
2022-11-06,23
2022-11-13,29
2022-11-20,21
2022-11-27,19
2022-12-04,27
2022-12-11,33
2022-12-18,27
2022-12-25,20
2023-01-01,26
2023-01-08,23
2023-01-15,22
2023-01-22,29
2023-01-29,22
2023-02-05,25
2023-02-12,36
2023-02-19,33
2023-02-26,23
2023-03-05,29
2023-03-12,50
2023-03-19,16
2023-03-26,24
2023-04-02,22
2023-04-09,16
2023-04-16,18
2023-04-23,23
2023-04-30,20
2023-05-07,27
2023-05-14,15
2023-05-21,23
2023-05-28,20
2023-06-04,16
2023-06-11,17
2023-06-18,15
2023-06-25,20
2023-07-02,19
2023-07-09,25
2023-07-16,19
