Category: All categories

Week,Tomakivka: (Worldwide)
2022-02-20,52
2022-02-27,53
2022-03-06,46
2022-03-13,41
2022-03-20,38
2022-03-27,63
2022-04-03,53
2022-04-10,66
2022-04-17,76
2022-04-24,43
2022-05-01,41
2022-05-08,75
2022-05-15,65
2022-05-22,68
2022-05-29,68
2022-06-05,51
2022-06-12,85
2022-06-19,78
2022-06-26,51
2022-07-03,61
2022-07-10,52
2022-07-17,55
2022-07-24,51
2022-07-31,72
2022-08-07,65
2022-08-14,76
2022-08-21,47
2022-08-28,61
2022-09-04,67
2022-09-11,67
2022-09-18,44
2022-09-25,73
2022-10-02,49
2022-10-09,67
2022-10-16,59
2022-10-23,74
2022-10-30,61
2022-11-06,54
2022-11-13,61
2022-11-20,58
2022-11-27,49
2022-12-04,66
2022-12-11,75
2022-12-18,57
2022-12-25,54
2023-01-01,80
2023-01-08,71
2023-01-15,50
2023-01-22,47
2023-01-29,58
2023-02-05,54
2023-02-12,61
2023-02-19,67
2023-02-26,50
2023-03-05,68
2023-03-12,53
2023-03-19,52
2023-03-26,76
2023-04-02,100
2023-04-09,87
2023-04-16,81
2023-04-23,78
2023-04-30,91
2023-05-07,67
2023-05-14,64
2023-05-21,79
2023-05-28,65
2023-06-04,69
2023-06-11,74
2023-06-18,57
2023-06-25,91
2023-07-02,76
2023-07-09,75
2023-07-16,52
2023-07-23,28
