Category: All categories

Week,Zaporizhzhia: (Worldwide)
2022-02-20,65
2022-02-27,100
2022-03-06,41
2022-03-13,42
2022-03-20,36
2022-03-27,37
2022-04-03,36
2022-04-10,40
2022-04-17,40
2022-04-24,41
2022-05-01,37
2022-05-08,36
2022-05-15,36
2022-05-22,46
2022-05-29,38
2022-06-05,36
2022-06-12,38
2022-06-19,42
2022-06-26,38
2022-07-03,40
2022-07-10,43
2022-07-17,41
2022-07-24,41
2022-07-31,49
2022-08-07,59
2022-08-14,55
2022-08-21,50
2022-08-28,49
2022-09-04,41
2022-09-11,43
2022-09-18,48
2022-09-25,52
2022-10-02,47
2022-10-09,50
2022-10-16,33
2022-10-23,31
2022-10-30,33
2022-11-06,30
2022-11-13,34
2022-11-20,34
2022-11-27,32
2022-12-04,31
2022-12-11,34
2022-12-18,32
2022-12-25,30
2023-01-01,33
2023-01-08,36
2023-01-15,33
2023-01-22,33
2023-01-29,32
2023-02-05,33
2023-02-12,30
2023-02-19,31
2023-02-26,34
2023-03-05,34
2023-03-12,34
2023-03-19,35
2023-03-26,36
2023-04-02,36
2023-04-09,34
2023-04-16,36
2023-04-23,33
2023-04-30,34
2023-05-07,34
2023-05-14,27
2023-05-21,33
2023-05-28,33
2023-06-04,41
2023-06-11,36
2023-06-18,38
2023-06-25,44
2023-07-02,49
2023-07-09,36
2023-07-16,34
