location,lat,lon,scalar,pop
Vovchansk,50.2928843,36.9370028,43,17942
Kupiansk,49.7132963,37.6141992,105,27584
Haivoron,48.3370533,29.868633,1,14344
Kremenets,50.0960966,25.7260783,3,20827
Boryspil,50.3512101,30.95077,188,63169
Zavodske,48.9995988,25.8551013,1,7929
Chuhuiv,49.8363648,36.6898157,177,31861
Kremenchuk,49.0629553,33.403516,134,219022
Bilovodsk,49.2068078,39.5911619,2,7806
Lubny,50.0118206,33.0030821,1,45032
Ivano-Frankivsk,48.7481718,24.5207477,59,230507
Ivanivka,46.7471269,33.0215761,19,2403
Voronizh,51.7778331,33.4660287,2,6560
Vinnytsia,49.2392809,28.5110617,175,370834
Hostomel,50.58826,30.25909,132,16945
Siversk,48.8676267,38.0902435,96,11231
Pryvillia,48.99971,38.30109,1,6826
Zhashkiv,49.2478012,30.1066179,1,13451
Alchevsk,48.4701987,38.8010178,5,108754
Bila Tserkva,49.7969703,30.1158069,70,203816
Balakliia,49.4521336,36.8397826,104,27249
Sakhnovshchyna,49.1517351,35.875332,1,7105
Bilohorivka,48.924437,38.2472032,64,808
Krasnopillia,50.7712539,35.2563391,4,7769
Snovsk,51.8187527,31.9448953,1,10928
Novodonetske,48.6342604,36.9819183,28,5597
Popasna,48.6322687,38.3777033,80,19984
Pavlohrad,48.5316759,35.8703695,109,108685
Manhush,47.0568106,37.3078191,43,7937
Rozdolne,45.77069005,33.49064604426453,3,7352
Savyntsi,49.08897,26.77918,2,5338
Smila,49.2336897,31.8829216,1,66972
Bilozerske,48.53313,37.05791,1,15099
Sievierodonetsk,48.9478698,38.4936475,97,106513
Kalanchak,46.257184,33.2843632,17,9212
Borova,49.3743,37.6230,31,05277
Starokostiantyniv,49.756163,27.2087889,3,34455
Enerhodar,47.4900575,34.6602709,145,53343
Pomichna,48.243309,31.4037217,1,8874
Bakhmach,51.1826768,32.8291034,19,17410
Myrne,47.4242451,37.7344444,6,1631
Zaitseve,48.40087,38.02643,12,3969
Hlobyne,49.392047,33.2507308,1,9235
Tokmak,47.2464,35.7098,66,32966
Novomykolaivka,48.56335,37.37411,5,5137
Bilozerka,46.63078,32.44537,2,9494
Kostyantynivka,48.5197877,37.7076253,49,69817
Horodnia,51.8915393,31.595545,3,11852
Vradiivka,47.8594344,30.5891291,1,8214
Kryvyi Rih,47.9102734,33.3917703,128,634780
Chasiv Yar,48.5873911,37.8373367,146,12756
Molochansk,47.20653,35.59742,1,6327
Trostyanets,50.4772256,34.9599352,14,19985
Rubizhne,49.0329045,38.3725819,85,56785
Sartana,47.1701321,37.6952892,42,10240
Zmiiv,49.7019133,36.3633323,1,14254
Kurakhove,47.9835214,37.2826414,44,18782
Marinka,47.9401242,37.5022312,76,9376
Chernivtsi,48.2864702,25.9376532,131,262276
Vorzel,50.5457287,30.1562891,29,6152
Khotyn,48.5068418,26.4859086,1,11124
Volnovakha,47.6014517,37.4934079,134,21678
Okhtyrka,50.3115386,34.8868923,156,47603
Vasylivka,47.4415,35.2867,37,12971
Bohodukhiv,50.1601711,35.5220539,1,15020
Pryluky,50.5950864,32.3866658,30,53395
Khorol,49.7822104,33.2740646,1,12839
Karlivka,49.4537175,35.1374845,1,14292
Yampil,48.9376361,37.9490477,40,10879
Barvinkove,48.9110633,37.024596,77,8309
Kakhovka,46.8054626,33.4817825,119,35975
Tsarychanka,48.9434,34.48986,1,7286
Haisyn,48.8120874,29.3893874,1,25818
Seredyna-Buda,52.1886906,34.0306022,5,7500
Velyka Oleksandrivka,47.3159392,33.2997671,17,6538
Znamianka,48.7199609,32.6659476,1,22069
Svitlovodsk,49.04537,33.20721,4,44466
Snizhne,48.0220754,38.7634612,7,49564
Krasnohrad,49.3741326,35.4494234,10,20272
Rodynske,48.3536652,37.2034069,1,10066
Zinkiv,50.21026,34.35768,1,9387
Ilarionove,48.4043673,35.275539,1,8838
Ukrainka,50.1537167,30.7420742,34,14163
Lviv,49.841952,24.0315921,259,721301
Hlukhiv,51.67831,33.9093,6,32686
Slavutych,51.5201397,30.7562301,50,24784
Bilmak,47.3624,36.65108,10,6609
Pravdyne,46.735466,32.20406,12,1000
Borodyanka,50.6437677,29.9278296,177,12535
Petropavlivka,48.80813,39.26685,37,4577
Avdiivka,48.1378796,37.7504526,110,32436
Bashtanka,47.4033486,32.4388921,20,12449
Putyvl,51.3359821,33.8715451,2,15260
Lobkove,47.522896,35.440945,1,240
Bilhorod-Dnistrovskyi,46.1909823,30.345784,1,48674
Kherson,46.6354,32.6169,170,289697
Vuhledar,47.7809924,37.2460771,117,14144
Bilokurakyne,49.52637,38.73539,1,6512
Zatoka,46.0675742,30.4555489,1,1761
Horlivka,48.3058686,38.0027664,56,245746
Milove,49.38011,40.1255,21,5810
Bratslav,48.8268749,28.9379724,1,5092
Studyni,50.882832,24.855539,1,1000
Perekop,46.1618298,33.6935885,12,919
Henichesk,46.1661695,34.8088828,56,19424
Lebedyn,50.5814148,34.4761301,17,24600
Lyman,48.9898,37.8050,92,20066
Voznesensk,47.5679582,31.3338636,30,34404
Ichnia,50.8623444,32.3910144,1,10709
Luhanske,48.43048,38.25542,2,2140
Novi Sanzhary,49.3338321,34.3148631,1,8127
Velykyi Burluk,50.0633281,37.3817141,31,3717
Yevpatoriya,45.1978359,33.3582648,1,104289
Odesa,46.4843023,30.7322878,288,993120
Starokozache,46.337597,29.986652,1,5108
Yuzhne,46.6225029,31.0994897,5,32724
Lozova,48.8842428,36.3160254,22,54618
Berdiansk,46.755678,36.7887623,94,113354
Prosiana,48.11909,36.36921,1,4760
Pisochyn,49.9622881,36.1239316,18,23509
Kerch,45.3534002,36.4538645,49,146559
Velyka Novosilka,47.84091,36.83012,150,37144
Stavky,49.953449,23.765244,6,34
Uman,48.7494,30.2214,8,82603
Varva,50.4982561,32.7228573,1,7798
Drabiv,49.9615236,32.1520869,1,32932
Solone,48.20423,34.87713,1,7487
Ivankiv,50.93301,29.9042867,207,10563
Dniprorudne,47.3899205,35.0028481,14,18231
Zorya,48.3651562,37.6723945,7,2898
Lypovets,49.2296415,29.0642148,1,8181
Sarny,51.3457,26.6020,2,29066
Toshkivka,48.7804723,38.5508567,56,3787
Mariupol,47.0957648,37.5499621,77,446103
Yuzhnoukrainsk,47.824269,31.1786814,19,39404
Shpola,49.0132605,31.393139,1,16616
Alushta,44.677112,34.4095393,3,29078
Yahotyn,50.2758913,31.7634861,2,19409
Shevchenkove,49.6878,37.1779,11,6627
Paniutyne,48.9404319,36.2811466,1,7058
Svatove,49.4176663,38.1456729,89,16710
Kiev,50.4500336,30.5241361,358,2884000
Kamianske,48.5167748,34.6068797,9,236694
Myrnohrad,48.30791,37.2591,1,47460
Apostolove,47.6617478,33.7180001,1,16356
Zolote,48.6901104,38.5121584,18,13374
Druzhkivka,48.6198614,37.524945,37,53977
Oleshky,46.6260908,32.7220187,22,24520
Simferopol,44.9521459,34.1024858,77,331936
Reshetylivka,49.5586111,34.0791667,1,9199
Hirske,48.7395184,38.4919701,12,9100
Vesele,47.0179164,34.9211323,5,9654
Nikolske,47.2004406,37.3162144,44,7948
Markivka,49.5239233,39.5682107,1,5664
Lupareve,46.6943404,31.9816968,1,1268
Talne,48.8889723,30.6980137,1,13156
Nova Kakhovka,46.7583404,33.3566678,91,45422
Izmail,45.3511307,28.8361514,69,71299
Zolota Balka,47.375996,33.965092,63,1681
Kobeliaky,49.1433333,34.2002778,1,9718
Kozacha Lopan,50.3295857,36.1921383,27,5087
